BNG Habitat,UKHAB Code,Level 1,Level 2 code,Level 2 Label,Level 3 code,Level 3 Label,Level 4 code,"Level 4 Label
(Priority Habitats in Bold)",Definition Page
Wetland - Purple moor grass and rush pastures,f2b,Terrestrial,f,Wetland,f2,Fen marsh and swamp,f2b,Purple moor grass and rush pastures,141
Wetland - Reedbeds,f2e,Terrestrial,f,Wetland,f2,Fen marsh and swamp,f2e,Reedbeds,149
Wetland - Transition mires and quaking bogs (H7140),f2c8/f2a8,Terrestrial,f,Wetland,f2,Fen marsh and swamp,Various,"Lowland fens/Upland flushes, fens and swamps",
Woodland and forest - Felled,206,Terrestrial,Various,,,,,,384
Woodland and forest - Lowland beech and yew woodland,w1c,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1c,Lowland beech and yew woodland,67
Woodland and forest - Lowland mixed deciduous woodland,w1f,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1f,Lowland mixed deciduous woodland,76
Woodland and forest - Native pine woodlands,w2a,Terrestrial,w,Woodland and forest,w2,Coniferous woodland,w2a,Native pine woodlands,85
Woodland and forest - Other coniferous woodland,w2c,Terrestrial,w,Woodland and forest,w2,Coniferous woodland,w2c,Other coniferous woodland,88
Woodland and forest - Other Scot's pine woodland,w2b,Terrestrial,w,Woodland and forest,w2,Coniferous woodland,w2b,Other Scot's pine woodland,87
Woodland and forest - Other woodland; broadleaved,w1g,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1g,Other woodland; broadleaved,80
Woodland and forest - Other woodland; mixed,w1h,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1h,Other woodland; mixed,81
Woodland and forest - Upland birchwoods,w1e,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1e,Upland birchwoods,75
Woodland and forest - Upland mixed ashwoods,w1b,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1b,Upland mixed ashwoods,64
Woodland and forest - Upland oakwood,w1a,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1a,Upland oakwood,62
Woodland and forest - Wet woodland,w1d,Terrestrial,w,Woodland and forest,w1,Broadleaved and mixed woodland,w1d,Wet woodland,72
Woodland and forest - Wood-pasture and parkland,26,Terrestrial,Various,,,,,,297
Woodland and forest - Felled,206,Terrestrial,Various,,,,,,384
Coastal lagoons - Coastal lagoons,x02,Intertidal,X02/03,Coastal lagoons,,Coastal lagoons,,,
Rocky shore - High energy littoral rock,a1.1,Intertidal,A1,Rocky shore,,High energy littoral rock,,,
"Rocky shore - High energy littoral rock - on peat, clay or chalk",A1.1,Intertidal,A1,Rocky shore,,"High energy littoral rock - on bedrock including chalk, peat or clay",,,
Rocky shore - Moderate energy littoral rock,A1.2,Intertidal,A1,Rocky shore,,Moderate energy littoral rock,,,
"Rocky shore - Moderate energy littoral rock - on peat, clay or chalk",A1.2 PCC,Intertidal,A1,Rocky shore,,"Moderate energy littoral rock - on bedrock including chalk, peat or clay",,,
Rocky shore - Low energy littoral rock,A1.3,Intertidal,A1,Rocky shore,,Low energy littoral rock,,,
